title,release,director,budget,opening,gross,worldwide_gross,metacritic_score,mpaa_rating,budget_mil,opening_mil,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,leadActor
The Diary of a Teenage Girl,2015-08-28,Marielle Heller,2000000,52334,1477002,1775133,87,R,2.0,0.052334,tt3172532,movie,The Diary of a Teenage Girl,The Diary of a Teenage Girl,0,2015,102,Comedy,6.9,30063,nm0353012
Hacker,2016-12-02,,2000000,6716,11239,11239,,R,2.0,0.006716,tt3173594,movie,Hacker,Hacker,0,2016,95,Crime,6.2,9050,nm6805758
Bitter Harvest,2017-02-24,George Mendeluk,26000000,219357,557241,904399,34,R,26.0,0.219357,tt3182620,movie,Bitter Harvest,Bitter Harvest,0,2017,103,Drama,6.0,3550,nm1310007
Fantastic Beasts and Where to Find Them,2016-11-18,David Yates,180000000,74403387,234037575,814044001,66,PG-13,180.0,74.403387,tt3183660,movie,Fantastic Beasts and Where to Find Them,Fantastic Beasts and Where to Find Them,0,2016,132,Adventure,7.3,416227,nm0460141
Insidious: Chapter 3,2015-06-05,Leigh Whannell,10000000,22692741,52218558,112983889,52,PG-13,10.0,22.692741,tt3195644,movie,Insidious: Chapter 3,Insidious: Chapter 3,0,2015,97,Horror,6.1,95114,nm0003388
Trumbo,2015-11-27,Jay Roach,15000000,74177,7857741,11430025,60,R,15.0,0.074177,tt3203606,movie,Trumbo,Trumbo,0,2015,124,Biography,7.5,77462,nm0005366
Slow West,2015-04-16,John Maclean,2000000,67003,229094,1295574,72,R,2.0,0.067003,tt3205376,movie,Slow West,Slow West,0,2015,84,Action,6.9,43276,nm2096617
Risen,2016-02-19,Kevin Reynolds,20000000,11801271,36880033,46771565,51,PG-13,20.0,11.801271,tt3231054,movie,Risen,Risen,0,2016,107,Action,6.3,25987,nm4403105
Loving Vincent,2017-09-22,Dorota Kobiela,23180,6735118,42187665,,62,PG-13,0.02318,6.735118,tt3262342,movie,Loving Vincent,Loving Vincent,0,2017,94,Animation,7.8,51909,nm7974908
Captive,2015-09-18,Jerry Jameson,2000000,1393243,2583301,2801508,36,PG-13,2.0,1.393243,tt3268668,movie,Captive,Captive,0,2015,97,Action,5.4,6483,nm0083349
Heist,2015-11-11,Scott Mann,8900000,28688,50136,3777046,37,R,8.9,0.028688,tt3276924,movie,Heist,Heist,0,2015,93,Action,6.1,28359,nm0298915
Welcome to Marwen,2018-12-21,Robert Zemeckis,39000000,2354205,10763520,13061491,40,PG-13,39.0,2.354205,tt3289724,movie,Welcome to Marwen,Welcome to Marwen,0,2018,116,Biography,6.2,20817,nm0003031
Equals,2016-05-26,Drake Doremus,16000000,9206,33258,2084628,43,PG-13,16.0,0.009206,tt3289728,movie,Equals,Equals,0,2015,101,Drama,6.1,28218,nm1458741
Youth,2015-12-04,Paolo Sorrentino,78085,2703296,23459358,,64,R,0.078085,2.703296,tt3312830,movie,Youth,Youth,0,2015,124,Comedy,7.3,72847,nm0162317
Logan,2017-03-03,James Mangold,97000000,88411916,226277068,619179950,77,R,97.0,88.411916,tt3315342,movie,Logan,Logan,0,2017,137,Action,8.1,660283,nm0291082
Concussion,2015-12-25,Peter Landesman,35000000,10513749,34542474,48623572,55,PG-13,35.0,10.513749,tt3322364,movie,Concussion,Concussion,0,2015,123,Biography,7.2,88298,nm6543415
Pan,2015-10-09,Joe Wright,150000000,15315435,35088320,128388320,36,PG,150.0,15.315435,tt3332064,movie,Pan,Pan,0,2015,111,Adventure,5.7,60992,nm0057381
Jigsaw,2017-10-27,Michael Spierig,10000000,16640452,38052832,102952888,39,R,10.0,16.640452,tt3348730,movie,Jigsaw,Jigsaw,0,2017,92,Crime,5.8,69874,nm0121117
Friend Request,2017-09-22,Simon Verhoeven,9900000,2002863,3759078,10975390,31,R,9.9,2.002863,tt3352390,movie,Friend Request,Friend Request,0,2016,92,Horror,5.3,24548,nm0073875
Tolkien,2019-05-10,Dome Karukoski,20000000,2200537,4535154,9090040,48,PG-13,20.0,2.200537,tt3361792,movie,Tolkien,Tolkien,0,2019,112,Biography,6.8,34444,nm2819401
Compadres,2016-03-31,Enrique Begné,3000000,1397434,3127773,7353544,28,R,3.0,1.397434,tt3367294,movie,Compadres,Compadres,0,2016,101,Action,4.8,952,nm0506368
Max,2015-06-26,Boaz Yakin,20000000,12155254,42656255,43967255,47,PG,20.0,12.155254,tt3369806,movie,Max,Max,0,2015,111,Adventure,6.7,25882,nm0704909
Transformers: The Last Knight,2017-06-21,Michael Bay,217000000,44680073,130168683,605425157,27,PG-13,217.0,44.680073,tt3371366,movie,Transformers: The Last Knight,Transformers: The Last Knight,0,2017,154,Action,5.2,137542,nm0326040
X-Men: Apocalypse,2016-05-27,Bryan Singer,178000000,65769562,155442489,543934105,52,PG-13,178.0,65.769562,tt3385516,movie,X-Men: Apocalypse,X-Men: Apocalypse,0,2016,144,Action,6.9,398988,nm1334526
Stan & Ollie,2019-02-27,Jon S. Baird,10000000,78104,5470235,24420923,75,PG,10.0,0.078104,tt3385524,movie,Stan & Ollie,Stan & Ollie,0,2018,98,Biography,7.2,33679,nm1952700
A United Kingdom,2017-02-10,Amma Asante,14000000,66510,3902185,14459330,65,PG-13,14.0,0.06651,tt3387266,movie,A United Kingdom,A United Kingdom,0,2016,111,Biography,6.9,14881,nm8815175
Scary Stories to Tell in the Dark,2019-08-09,André Øvredal,25000000,20915346,68947075,104545505,61,PG-13,25.0,20.915346,tt3387520,movie,Scary Stories to Tell in the Dark,Scary Stories to Tell in the Dark,0,2019,108,Adventure,6.2,63310,nm1729303
The Forest,2016-01-08,Jason Zada,10000000,12741176,26594261,39712000,34,PG-13,10.0,12.741176,tt3387542,movie,The Forest,The Forest,0,2016,93,Horror,4.8,40383,nm0180506
Sicario,2015-10-02,Denis Villeneuve,30000000,401288,46889293,84872444,82,R,30.0,0.401288,tt3397884,movie,Sicario,Sicario,0,2015,121,Action,7.6,377731,nm0412588
Murder on the Orient Express,2017-11-10,Kenneth Branagh,55000000,28681472,102826543,352794081,52,PG-13,55.0,28.681472,tt3402236,movie,Murder on the Orient Express,Murder on the Orient Express,0,2017,114,Crime,6.5,217281,nm1334526
Ferdinand,2017-12-15,Carlos Saldanha,111000000,13401586,84410380,296069199,58,PG,111.0,13.401586,tt3411444,movie,Ferdinand,Ferdinand,0,2017,108,Adventure,6.7,49930,nm5375420
A Monster Calls,2017-01-06,J.A. Bayona,43000000,30909,3740823,47309313,76,PG-13,43.0,0.030909,tt3416532,movie,A Monster Calls,A Monster Calls,0,2016,108,Adventure,7.5,82279,nm8435299
Ice Age: Collision Course,2016-07-22,Mike Thurmeier,105000000,21373064,64063008,408754975,34,PG,105.0,21.373064,tt3416828,movie,Ice Age: Collision Course,Ice Age: Collision Course,0,2016,94,Adventure,5.7,58289,nm0073850
Paul Blart: Mall Cop 2,2015-04-17,Andy Fickman,30000000,23762435,71038190,107588225,13,PG,30.0,23.762435,tt3450650,movie,Paul Blart: Mall Cop 2,Paul Blart: Mall Cop 2,0,2015,94,Action,4.4,34797,nm0001191
The Sea of Trees,2016-08-26,Gus Van Sant,25000000,1877,20444,906995,23,PG-13,25.0,0.001877,tt3450900,movie,The Sea of Trees,The Sea of Trees,0,2015,110,Drama,6.1,14174,nm0336620
War for the Planet of the Apes,2017-07-14,Matt Reeves,150000000,56262929,146880162,490719763,82,PG-13,150.0,56.262929,tt3450958,movie,War for the Planet of the Apes,War for the Planet of the Apes,0,2017,140,Action,7.4,231123,nm0001872
The Lucky Man,2018-01-16,Norman Gregory McGuire,1000000,4956,25015,25015,,R,1.0,0.004956,tt3458760,movie,The Lucky Man,The Lucky Man,0,2017,98,Action,5.6,1728,nm2796113
The Hateful Eight,2015-12-30,Quentin Tarantino,44000000,4610676,54117416,156455059,68,R,44.0,4.610676,tt3460252,movie,The Hateful Eight,The Hateful Eight,0,2015,168,Crime,7.8,527131,nm0321621
The Lobster,2015-10-16,Yorgos Lanthimos,190252,9077245,15456717,,82,R,0.190252,9.077245,tt3464902,movie,The Lobster,The Lobster,0,2015,119,Comedy,7.2,224303,nm3717662
Despicable Me 3,2017-06-30,Kyle Balda,80000000,72434025,264624300,1034800131,49,PG,80.0,72.434025,tt3469046,movie,Despicable Me 3,Despicable Me 3,0,2017,89,Adventure,6.3,116353,nm0202425
Sing,2016-12-21,Garth Jennings,75000000,35258145,270448425,634208384,59,PG,75.0,35.258145,tt3470600,movie,Sing,Sing,0,2016,108,Animation,7.1,136302,nm0847926
The Nut Job 2: Nutty by Nature,2017-08-11,Cal Brunker,40000000,8342311,28370522,68743485,36,PG,40.0,8.342311,tt3486626,movie,The Nut Job 2: Nutty by Nature,The Nut Job 2: Nutty by Nature,0,2017,91,Adventure,5.5,5998,nm1545935
The Walk,2015-10-09,Robert Zemeckis,35000000,1560299,10137502,61181942,70,PG,35.0,1.560299,tt3488710,movie,The Walk,The Walk,0,2015,123,Action,7.3,121361,nm0006293
Captain America: Civil War,2016-05-06,Anthony Russo,250000000,179139142,408084349,1153337496,75,PG-13,250.0,179.139142,tt3498820,movie,Captain America: Civil War,Captain America: Civil War,0,2016,147,Action,7.8,678898,nm0456158
Race,2016-02-19,Stephen Hopkins,35000000,7353922,19206207,25070261,56,PG-13,35.0,7.353922,tt3499096,movie,Race,Race,0,2016,134,Biography,7.1,35255,nm1100123
Thor: Ragnarok,2017-11-03,Taika Waititi,180000000,122744989,315058289,853983911,74,PG-13,180.0,122.744989,tt3501632,movie,Thor: Ragnarok,Thor: Ragnarok,0,2017,130,Action,7.9,606165,nm1219736
The Lego Movie 2: The Second Part,2019-02-08,Mike Mitchell,99000000,34115335,105806508,192306508,65,PG,99.0,34.115335,tt3513498,movie,The Lego Movie 2: The Second Part,The Lego Movie 2: The Second Part,0,2019,107,Action,6.6,56586,nm0520488
Richard Jewell,2019-12-13,Clint Eastwood,45000000,4705265,22345542,43745542,68,R,45.0,4.705265,tt3513548,movie,Richard Jewell,Richard Jewell,0,2019,131,Biography,7.5,68000,nm2248832
The Disaster Artist,2017-12-08,James Franco,10000000,1211345,21120616,29820616,76,R,10.0,1.211345,tt3521126,movie,The Disaster Artist,The Disaster Artist,0,2017,104,Biography,7.4,140648,nm0006683
Moana,2016-11-23,Ron Clements,150000000,56631401,248757044,643350998,81,PG,150.0,56.631401,tt3521164,movie,Moana,Moana,0,2016,107,Adventure,7.6,279537,nm1158544
Mechanic: Resurrection,2016-08-26,Dennis Gansel,40000000,7456525,21218403,125729635,38,R,40.0,7.456525,tt3522806,movie,Mechanic: Resurrection,Mechanic: Resurrection,0,2016,98,Action,5.7,77757,nm1912600
Nerve,2016-07-27,Henry Joost,19000000,9445456,38583626,85251425,58,PG-13,19.0,9.445456,tt3531824,movie,Nerve,Nerve,0,2016,96,Action,6.5,117809,nm0441097
American Made,2017-09-29,Doug Liman,50000000,16776390,51342000,134866593,65,R,50.0,16.77639,tt3532216,movie,American Made,American Made,0,2017,115,Action,7.2,161277,nm0004976
Cut Throat City,2020-08-21,RZA,6500000,243379,855894,864928,67,R,6.5,0.243379,tt3547306,movie,Cut Throat City,Cut Throat City,0,2020,123,Action,4.9,1770,nm0578861
Whiskey Tango Foxtrot,2016-03-04,Glenn Ficarra,35000000,7450275,23083334,24972139,57,R,35.0,7.450275,tt3553442,movie,Whiskey Tango Foxtrot,Whiskey Tango Foxtrot,0,2016,112,Biography,6.6,50185,nm1061622
Girls Trip,2017-07-21,Malcolm D. Lee,19000000,31201920,115171585,140552359,71,R,19.0,31.20192,tt3564472,movie,Girls Trip,Girls Trip,0,2017,122,Adventure,6.2,34842,nm0002700
The Visit,2015-09-11,M. Night Shyamalan,5000000,25427560,65206105,98450062,55,PG-13,5.0,25.42756,tt3567288,movie,The Visit,The Visit,0,2015,94,Horror,6.2,115688,nm3002063
Legend,2015-11-20,Brian Helgeland,30000000,86836,1872994,42972994,55,R,30.0,0.086836,tt3569230,movie,Legend,Legend,0,2015,132,Biography,6.9,161342,nm0079677
Bilal: A New Breed of Hero,2018-02-02,Khurram H. Alavi,30000000,309951,490973,3087832,52,PG-13,30.0,0.309951,tt3576728,movie,Bilal: A New Breed of Hero,Bilal: A New Breed of Hero,0,2015,105,Action,7.9,17446,nm6336447
Cars 3,2017-06-16,Brian Fee,175000000,53688680,152901115,383930656,59,G,175.0,53.68868,tt3606752,movie,Cars 3,Cars 3,0,2017,102,Adventure,6.7,79120,nm1195697
Incredibles 2,2018-06-15,Brad Bird,200000000,182687905,608581744,1243089244,80,PG,200.0,182.687905,tt3606756,movie,Incredibles 2,Incredibles 2,0,2018,118,Action,7.6,255842,nm0250995
Jem and the Holograms,2015-10-23,Jon M. Chu,5000000,1375320,2184640,2333684,42,PG,5.0,1.37532,tt3614530,movie,Jem and the Holograms,Jem and the Holograms,0,2015,118,Adventure,4.2,7385,nm1293285
Paper Towns,2015-07-24,Jake Schreier,12000000,12650140,32000304,85512300,56,PG-13,12.0,12.65014,tt3622592,movie,Paper Towns,Paper Towns,0,2015,109,Adventure,6.3,96239,nm6819854
Ricki and the Flash,2015-08-07,Jonathan Demme,18000000,6610961,26822144,41325328,54,PG-13,18.0,6.610961,tt3623726,movie,Ricki and the Flash,Ricki and the Flash,0,2015,101,Comedy,5.9,22553,nm0686887
The Girl on the Train,2016-10-07,Tate Taylor,45000000,24536265,75395035,173185859,48,R,45.0,24.536265,tt3631112,movie,The Girl on the Train,The Girl on the Train,0,2016,112,Crime,6.5,172434,nm0000384
Allied,2016-11-23,Robert Zemeckis,85000000,12701743,40098064,119520023,60,R,85.0,12.701743,tt3640424,movie,Allied,Allied,0,2016,124,Action,7.1,143869,nm0823330
The Martian,2015-10-02,Ridley Scott,108000000,54308575,228433663,630162448,80,PG-13,108.0,54.308575,tt3659388,movie,The Martian,The Martian,0,2015,144,Adventure,8.0,771025,nm1334526
Bridge of Spies,2015-10-16,Steven Spielberg,40000000,15371203,72313754,165478348,81,PG-13,40.0,15.371203,tt3682448,movie,Bridge of Spies,Bridge of Spies,0,2015,142,Drama,7.6,291405,nm1069736
The BFG,2016-07-01,Steven Spielberg,140000000,18775350,55483770,195243411,66,PG,140.0,18.77535,tt3691740,movie,The BFG,The BFG,0,2016,117,Adventure,6.4,78807,nm0580303
Remember,2015-12-17,Atom Egoyan,27006,1184564,4235959,,52,R,0.027006,1.184564,tt3704050,movie,Remember,Remember,0,2015,94,Drama,7.5,23487,nm3088713
The Hollars,2016-08-26,John Krasinski,3800000,38210,1016985,1138609,53,PG-13,3.8,0.03821,tt3714720,movie,The Hollars,The Hollars,0,2016,88,Comedy,6.6,11797,nm4964039
Irrational Man,2015-08-07,Woody Allen,11000000,175312,4030360,27391084,53,R,11.0,0.175312,tt3715320,movie,Irrational Man,Irrational Man,0,2015,95,Comedy,6.6,59548,nm2304996
Elle,2016-11-11,Paul Verhoeven,50934,2341534,12748594,,89,R,0.050934,2.341534,tt3716530,movie,Elle,Elle,0,2016,130,Crime,7.1,61883,nm0069963
Underworld: Blood Wars,2017-01-06,Anna Foerster,35000000,13688751,30353973,81093313,23,R,35.0,13.688751,tt3717252,movie,Underworld: Blood Wars,Underworld: Blood Wars,0,2016,91,Action,5.8,70678,nm2040359
Power Rangers,2017-03-24,Dean Israelite,100000000,40300288,85364450,142337240,44,PG-13,100.0,40.300288,tt3717490,movie,Power Rangers,Power Rangers,0,2017,124,Action,5.9,102676,nm2332952
My All-American,2015-11-13,Angelo Pizzo,20000000,1365000,2246000,2246000,34,PG,20.0,1.365,tt3719896,movie,My All American,My All-American,0,2015,118,Biography,7.2,6184,nm1373352
Maudie,2017-08-04,Aisling Walsh,45920,6170998,9733932,,65,PG-13,0.04592,6.170998,tt3721954,movie,Maudie,Maudie,0,2016,115,Biography,7.6,16700,nm0786673
Kong: Skull Island,2017-03-10,Jordan Vogt-Roberts,185000000,61025472,168052812,566652812,62,PG-13,185.0,61.025472,tt3731562,movie,Kong: Skull Island,Kong: Skull Island,0,2017,118,Action,6.6,284382,nm1440919
Godzilla: King of the Monsters,2019-05-31,Michael Dougherty,170000000,47776293,110500138,386600138,48,PG-13,170.0,47.776293,tt3741700,movie,Godzilla: King of the Monsters,Godzilla: King of the Monsters,0,2019,132,Action,6.0,151697,nm0419169
The Equalizer 2,2018-07-20,Antoine Fuqua,62000000,36011640,102084362,190400157,50,R,62.0,36.01164,tt3766354,movie,The Equalizer 2,The Equalizer 2,0,2018,121,Action,6.7,137132,nm0085542
"Hello, My Name Is Doris",2016-04-01,Michael Showalter,1000000,84986,14444999,14659448,63,R,1.0,0.084986,tt3766394,movie,"Hello, My Name Is Doris","Hello, My Name Is Doris",0,2015,90,Comedy,6.6,18988,nm1889450
Snowden,2016-09-16,Oliver Stone,40000000,8000058,21587519,37357216,58,R,40.0,8.000058,tt3774114,movie,Snowden,Snowden,0,2016,134,Biography,7.3,140443,nm0465740
Solo: A Star Wars Story,2018-05-25,Ron Howard,275000000,84420489,213767512,392924807,62,PG-13,275.0,84.420489,tt3778644,movie,Solo: A Star Wars Story,Solo: A Star Wars Story,0,2018,135,Action,6.9,299125,nm0005086
La La Land,2016-12-25,Damien Chazelle,30000000,881104,151101803,448864344,94,PG-13,30.0,0.881104,tt3783958,movie,La La Land,La La Land,0,2016,128,Comedy,8.0,515882,nm0686887
We Are Your Friends,2015-08-28,Max Joseph,2000000,1767308,3591417,11122090,46,R,2.0,1.767308,tt3787590,movie,We Are Your Friends,We Are Your Friends,0,2015,96,Drama,6.2,36524,nm0649198
Sonic the Hedgehog,2020-02-14,Jeff Fowler,85000000,58018348,148974665,319715683,47,PG,85.0,58.018348,tt3794354,movie,Sonic the Hedgehog,Sonic the Hedgehog,0,2020,99,Action,6.5,95615,nm1352459
The Nice Guys,2016-05-20,Shane Black,50000000,11203270,36261763,62788218,70,R,50.0,11.20327,tt3799694,movie,The Nice Guys,The Nice Guys,0,2016,116,Action,7.4,286711,nm0653211
Tangerine,2015-07-10,Sean Baker,100000,60683,702354,828874,86,R,0.1,0.060683,tt3824458,movie,Tangerine,Tangerine,0,2015,88,Comedy,7.1,27956,nm2608694
The Predator,2018-09-14,Shane Black,88000000,24632284,51024708,160542134,48,R,88.0,24.632284,tt3829266,movie,The Predator,The Predator,0,2018,107,Action,5.3,117842,nm0859029
Only the Brave,2017-10-20,Joseph Kosinski,38000000,6002665,18343983,26351322,72,PG-13,38.0,6.002665,tt3829920,movie,Only the Brave,Only the Brave,0,2017,134,Action,7.6,59980,nm2545235
Dope,2015-06-19,Rick Famuyiwa,7000000,6100010,17506470,17986781,72,R,7.0,6.10001,tt3850214,movie,Dope,Dope,0,2015,103,Adventure,7.2,81274,nm1121126
Hillsong: Let Hope Rise,2016-09-16,Michael John Warren,800000,1357243,2394386,2649761,43,PG,0.8,1.357243,tt3850544,movie,Hillsong: Let Hope Rise,Hillsong: Let Hope Rise,0,2016,103,Documentary,6.4,829,nm0915918
Krampus,2015-12-04,Michael Dougherty,15000000,16293325,42725475,61548707,49,PG-13,15.0,16.293325,tt3850590,movie,Krampus,Krampus,0,2015,98,Comedy,6.2,65026,nm0419169
Truth,2015-10-30,James Vanderbilt,9600000,66232,2541854,5383097,66,R,9.6,0.066232,tt3859076,movie,Truth,Truth,0,2015,125,Biography,6.8,19084,nm0792061
The Bronze,2016-03-18,Bryan Buckley,3500000,386328,615816,615816,44,R,3.5,0.386328,tt3859304,movie,The Bronze,The Bronze,0,2015,100,Comedy,6.1,10157,nm3440862
Dumbo,2019-03-29,Tim Burton,170000000,45990748,114766307,353284621,51,PG,170.0,45.990748,tt3861390,movie,Dumbo,Dumbo,0,2019,112,Adventure,6.3,67613,nm0292390
Lazer Team,2016-01-27,Matt Hullum,2480421,108586,1186426,1406538,42,PG-13,2.480421,0.108586,tt3864024,movie,Lazer Team,Lazer Team,0,2015,102,Action,5.6,9143,nm4777039
The Boss Baby,2017-03-31,Tom McGrath,125000000,50198902,175003033,527965936,50,PG,125.0,50.198902,tt3874544,movie,The Boss Baby,The Boss Baby,0,2017,97,Adventure,6.3,110613,nm2385360
The Boy,2016-01-22,William Brent Bell,10000000,10778392,35819556,73929392,42,PG-13,10.0,10.778392,tt3882082,movie,The Boy,The Boy,0,2016,97,Horror,6.0,81741,nm0524342
Baby Driver,2017-06-28,Edgar Wright,34000000,20553320,107825862,226945087,86,R,34.0,20.55332,tt3890160,movie,Baby Driver,Baby Driver,0,2017,113,Action,7.6,449223,nm0271479
Guardians of the Galaxy Vol. 2,2017-05-05,James Gunn,200000000,146510104,389813101,863756051,67,PG-13,200.0,146.510104,tt3896198,movie,Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2,0,2017,136,Action,7.6,582298,nm3966115
Vigilante Diaries,2016-06-24,Christian Sesma,1000000,1650,1991,176777,,R,1.0,0.00165,tt3903852,movie,Vigilante Diaries,Vigilante Diaries,0,2016,107,Action,5.4,4179,nm1721575
Brian Banks,2019-08-09,Tom Shadyac,10000000,2156272,4376819,4376819,58,PG-13,10.0,2.156272,tt3920820,movie,Brian Banks,Brian Banks,0,2018,99,Biography,7.2,4782,nm2961544
The Space Between Us,2017-02-03,Peter Chelsom,30000000,3775596,7885294,16080475,33,PG-13,30.0,3.775596,tt3922818,movie,The Space Between Us,The Space Between Us,0,2017,120,Drama,6.4,49005,nm0677021
Teenage Mutant Ninja Turtles: Out of the Shadows,2016-06-03,Dave Green,135000000,35316382,82051601,245623848,40,PG-13,135.0,35.316382,tt3949660,movie,Teenage Mutant Ninja Turtles: Out of the Shadows,Teenage Mutant Ninja Turtles: Out of the Shadows,0,2016,112,Action,6.0,85485,nm0247653
The Monster,2016-10-06,Bryan Bertino,2700000,6624,12544,74700,69,R,2.7,0.006624,tt3976144,movie,The Monster,The Monster,0,2016,91,Drama,5.4,16237,nm1094495
Once I Was a Beehive,2015-08-14,Maclain Nelson,200000,48409,732655,732655,,PG,0.2,0.048409,tt4002772,movie,Once I Was a Beehive,Once I Was a Beehive,0,2015,119,Comedy,6.3,1131,nm1237224
The House That Jack Built,2018-10-17,Lars von Trier,34273,258106,3081913,,42,R,0.034273,0.258106,tt4003440,movie,The House That Jack Built,The House That Jack Built,0,2018,152,Crime,6.8,61441,nm0993994
The Bye Bye Man,2017-01-13,Stacy Title,7400000,13501349,22395806,29874280,37,PG-13,7.4,13.501349,tt4030600,movie,The Bye Bye Man,The Bye Bye Man,0,2017,96,Drama,4.2,22184,nm6765196
Swiss Army Man,2016-07-01,Dan Kwan,3000000,105453,4210454,4935501,64,R,3.0,0.105453,tt4034354,movie,Swiss Army Man,Swiss Army Man,0,2016,97,Comedy,7.0,107569,nm1224078
Maze Runner: The Scorch Trials,2015-09-18,Wes Ball,61000000,30316510,81697192,312296056,43,PG-13,61.0,30.31651,tt4046784,movie,Maze Runner: The Scorch Trials,Maze Runner: The Scorch Trials,0,2015,131,Action,6.3,225749,nm2125212
The Shallows,2016-06-24,Jaume Collet-Serra,17000000,16800868,55124043,119100758,59,PG-13,17.0,16.800868,tt4052882,movie,The Shallows,The Shallows,0,2016,86,Action,6.3,121869,nm0001937
The Darkest Minds,2018-08-03,Jennifer Yuh Nelson,34000000,5842609,12695691,41142379,39,PG-13,34.0,5.842609,tt4073790,movie,The Darkest Minds,The Darkest Minds,0,2018,104,Action,5.7,28745,nm1209925
The Purge: Election Year,2016-07-01,James DeMonaco,10000000,31515110,79213375,118587880,55,R,10.0,31.51511,tt4094724,movie,The Purge: Election Year,The Purge: Election Year,0,2016,108,Action,6.0,91066,nm0298181
Forever My Girl,2018-01-19,Bethany Ashton Wolf,3500000,4245630,16376066,16376066,36,PG,3.5,4.24563,tt4103724,movie,Forever My Girl,Forever My Girl,0,2018,108,Drama,6.7,15102,nm4403105
The Lego Batman Movie,2017-02-10,Chris McKay,80000000,53003468,175750384,311950384,75,PG,80.0,53.003468,tt4116284,movie,The Lego Batman Movie,The Lego Batman Movie,0,2017,104,Action,7.3,132808,nm1273099
Fantastic Beasts: The Crimes of Grindelwald,2018-11-16,David Yates,200000000,62163104,159555901,654855901,52,PG-13,200.0,62.163104,tt4123430,movie,Fantastic Beasts: The Crimes of Grindelwald,Fantastic Beasts: The Crimes of Grindelwald,0,2018,134,Adventure,6.6,228913,nm0006133
My Little Pony: The Movie,2017-10-06,Jayson Thiessen,6500000,8885899,21885107,60330833,39,PG,6.5,8.885899,tt4131800,movie,My Little Pony: The Movie,My Little Pony: The Movie,0,2017,99,Adventure,6.1,6109,nm4232089
Florence Foster Jenkins,2016-08-12,Stephen Frears,29000000,6601313,27383770,49052787,71,PG-13,29.0,6.601313,tt4136084,movie,Florence Foster Jenkins,Florence Foster Jenkins,0,2016,111,Biography,6.8,51664,nm0780870
Keanu,2016-04-29,Peter Atencio,15000000,9453224,20591853,20651333,63,R,15.0,9.453224,tt4139124,movie,Keanu,Keanu,0,2016,100,Action,6.3,46015,nm4621803
Captain Marvel,2019-03-08,Anna Boden,160000000,153433423,426829839,1128462972,64,PG-13,160.0,153.433423,tt4154664,movie,Captain Marvel,Captain Marvel,0,2019,123,Action,6.9,462722,nm2270979
Avengers: Infinity War,2018-04-27,Anthony Russo,321000000,257698183,678815482,2048359754,68,PG-13,321.0,257.698183,tt4154756,movie,Avengers: Infinity War,Avengers: Infinity War,0,2018,149,Action,8.4,865375,nm0498278
Avengers: Endgame,2019-04-26,Anthony Russo,356000000,357115007,858373000,2797501328,78,PG-13,356.0,357.115007,tt4154796,movie,Avengers: Endgame,Avengers: Endgame,0,2019,181,Action,8.4,856383,nm0749263
Replicas,2019-01-11,Jeffrey Nachmanoff,30000000,2375325,4046429,9330075,19,PG-13,30.0,2.375325,tt4154916,movie,Replicas,Replicas,0,2018,107,Drama,5.5,33383,nm3203841
Free Fire,2017-04-21,Ben Wheatley,994431,1799312,3719383,,63,R,0.994431,1.799312,tt4158096,movie,Free Fire,Free Fire,0,2016,91,Action,6.4,42879,nm0823288
Don't Breathe,2016-08-26,Fede Alvarez,9900000,26411706,89217875,157830487,71,R,9.9,26.411706,tt4160708,movie,Don't Breathe,Don't Breathe,0,2016,88,Crime,7.1,226726,nm0063414
13 Hours,2016-01-15,Michael Bay,50000000,16194738,52853219,69411370,48,R,50.0,16.194738,tt4172430,movie,13 Hours,13 Hours,0,2016,144,Action,7.3,122115,nm0831098
The Gift,2015-08-07,Joel Edgerton,5000000,11854273,43787265,58980521,77,R,5.0,11.854273,tt4178092,movie,The Gift,The Gift,0,2015,108,Drama,7.0,142498,nm3737483
Valley of Bones,2017-09-01,Dan Glaser,3000000,107393,168738,168738,,R,3.0,0.107393,tt4180286,movie,Valley of Bones,Valley of Bones,0,2017,90,Crime,4.2,466,nm3263330
Woodlawn,2015-10-16,Andrew Erwin,12000000,4002226,14394097,14401617,57,PG,12.0,4.002226,tt4183692,movie,Woodlawn,Woodlawn,0,2015,123,Biography,6.5,6736,nm2296528
The Birth of a Nation,2016-10-07,Nate Parker,8500000,7004254,15861566,16779212,69,R,8.5,7.004254,tt4196450,movie,The Birth of a Nation,The Birth of a Nation,0,2016,120,Biography,6.4,20225,nm1834530
Playmobil: The Movie,2019-12-06,Lino DiSalvo,656530,1115008,16349303,,25,PG,0.65653,1.115008,tt4199898,movie,Playmobil: The Movie,Playmobil: The Movie,0,2019,99,Adventure,4.9,3414,nm0649663
Molly's Game,2018-01-05,Aaron Sorkin,30000000,2349967,28780744,59284015,71,R,30.0,2.349967,tt4209788,movie,Molly's Game,Molly's Game,0,2017,140,Biography,7.4,148746,nm6591098
Widows,2018-11-16,Steve McQueen,42000000,12361307,42402632,75984700,84,R,42.0,12.361307,tt4218572,movie,Widows,Widows,0,2018,129,Crime,6.9,89157,nm0792431
