title,release,director,budget,opening,gross,worldwide_gross,metacritic_score,mpaa_rating,budget_mil,opening_mil,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,leadActor
Fantastic Four,2015-08-07,Josh Trank,120000000,25685737,56117548,167882881,27,PG-13,120.0,25.685737,tt1502712,movie,Fantastic Four,Fantastic Four,0,2015,100,Action,4.3,154407,nm0729701
A Star Is Born,2018-10-05,Bradley Cooper,36000000,42908051,215288866,436188866,88,R,36.0,42.908051,tt1517451,movie,A Star Is Born,A Star Is Born,0,2018,136,Drama,7.6,342253,nm0225820
Area 51,2015-05-15,Oren Peli,5000000,7556,7556,7556,30,R,5.0,0.007556,tt1519461,movie,Area 51,Area 51,0,2015,91,Horror,4.2,13355,nm0343725
Blair Witch,2016-09-16,Adam Wingard,5000000,9576057,20777061,45173154,47,R,5.0,9.576057,tt1540011,movie,Blair Witch,Blair Witch,0,2016,89,Horror,5.0,42055,nm2096462
Zombieland: Double Tap,2019-10-18,Ruben Fleischer,42000000,26803104,73123082,122810399,55,R,42.0,26.803104,tt1560220,movie,Zombieland: Double Tap,Zombieland: Double Tap,0,2019,99,Action,6.7,144847,nm1014201
Mortal Engines,2018-12-14,Christian Rivers,100000000,7559850,15951040,83672673,44,PG-13,100.0,7.55985,tt1571234,movie,Mortal Engines,Mortal Engines,0,2018,128,Action,6.1,112514,nm0001392
The Commuter,2018-01-12,Jaume Collet-Serra,30000000,13701452,36343858,119942387,56,PG-13,30.0,13.701452,tt1590193,movie,The Commuter,The Commuter,0,2018,104,Action,6.3,105339,nm0739868
Norm of the North,2016-01-15,Trevor Wall,7000000,6844137,17062499,30734502,21,PG,7.0,6.844137,tt1594972,movie,Norm of the North,Norm of the North,0,2015,88,Adventure,3.4,8758,nm7827939
The Big Short,2015-12-23,Adam McKay,28000000,705527,70259870,133440870,81,R,28.0,0.705527,tt1596363,movie,The Big Short,The Big Short,0,2015,130,Biography,7.8,373011,nm1250070
Z for Zachariah,2015-09-30,Craig Zobel,7500000,56902,121461,381839,68,PG-13,7.5,0.056902,tt1598642,movie,Z for Zachariah,Z for Zachariah,0,2015,98,Drama,6.0,28766,nm0540283
Jupiter Ascending,2015-02-06,Lana Wachowski,176000000,18372372,47387723,183887723,40,PG-13,176.0,18.372372,tt1617661,movie,Jupiter Ascending,Jupiter Ascending,0,2015,127,Action,5.3,180387,nm0905152
The Last Witch Hunter,2015-10-23,Breck Eisner,90000000,10812861,27367660,146936910,34,PG-13,90.0,10.812861,tt1618442,movie,The Last Witch Hunter,The Last Witch Hunter,0,2015,106,Action,6.0,96492,nm0004799
Jackie,2016-12-02,Pablo Larraín,9000000,278715,13960394,29777777,81,R,9.0,0.278715,tt1619029,movie,Jackie,Jackie,0,2016,100,Biography,6.7,73691,nm3834300
A Wrinkle in Time,2018-03-09,Ava DuVernay,100000000,33123609,100478608,132675864,53,PG,100.0,33.123609,tt1620680,movie,A Wrinkle in Time,A Wrinkle in Time,0,2018,109,Adventure,4.2,41763,nm0478291
Bleed for This,2016-11-18,Ben Younger,6000000,2366810,5083906,6698679,62,R,6.0,2.36681,tt1620935,movie,Bleed for This,Bleed for This,0,2016,117,Biography,6.8,25536,nm3959653
The Addams Family,2019-10-11,Greg Tiernan,24000000,30300007,100723831,203761873,46,PG,24.0,30.300007,tt1620981,movie,The Addams Family,The Addams Family,0,2019,86,Animation,5.8,29709,nm0011623
Independence Day: Resurgence,2016-06-24,Roland Emmerich,165000000,41039944,103144286,389681935,32,PG-13,165.0,41.039944,tt1628841,movie,Independence Day: Resurgence,Independence Day: Resurgence,0,2016,120,Action,5.2,168483,nm0002041
Bloodshot,2020-03-13,Dave Wilson,45000000,9176695,12561824,33542457,44,PG-13,45.0,9.176695,tt1634106,movie,Bloodshot,Bloodshot,0,2020,109,Action,5.7,63404,nm1318192
The Man from U.N.C.L.E.,2015-08-14,Guy Ritchie,75000000,13421036,45445109,107045109,56,PG-13,75.0,13.421036,tt1638355,movie,The Man from U.N.C.L.E.,The Man from U.N.C.L.E.,0,2015,116,Action,7.3,279711,nm0927880
The Dark Tower,2017-08-04,Nikolaj Arcel,60000000,19153698,50701325,113231078,34,PG-13,60.0,19.153698,tt1648190,movie,The Dark Tower,The Dark Tower,0,2017,95,Action,5.6,129804,nm0000175
The Age of Adaline,2015-04-24,Lee Toland Krieger,25000000,13203458,42629776,65663276,51,PG-13,25.0,13.203458,tt1655441,movie,The Age of Adaline,The Age of Adaline,0,2015,112,Drama,7.2,157086,nm0328987
Wild Oats,2016-09-16,,10000000,21554,40598,247949,,PG-13,10.0,0.021554,tt1655461,movie,Wild Oats,Wild Oats,0,2016,86,Action,5.7,3493,nm2119938
Freeheld,2016-02-10,Peter Sollett,7000000,37983,573335,1474471,50,PG-13,7.0,0.037983,tt1658801,movie,Freeheld,Freeheld,0,2015,103,Biography,6.6,11854,nm0638913
Cinderella,2015-03-13,Kenneth Branagh,95000000,67877361,201151353,542358331,67,PG,95.0,67.877361,tt1661199,movie,Cinderella,Cinderella,0,2015,105,Drama,6.9,162926,nm1334526
