title,release,startYear,top3_actors
Conan the Barbarian,2011-08-19,2011,"['Arnold Schwarzenegger', 'James Earl Jones', 'Max von Sydow']"
This Must Be the Place,2011-08-24,2011,"['John Krasinski', 'Maya Rudolph', 'Carmen Ejogo']"
Colombiana,2011-08-26,2011,"['Zoe Saldana', 'Jordi Mollà', 'Lennie James']"
Seeking Justice,2011-09-02,2011,"['Nicolas Cage', 'January Jones', 'Guy Pearce']"
Apollo 18,2011-09-02,2011,"['Warren Christie', 'Lloyd Owen', 'Ryan Robbins']"
The Devil's Double,2011-09-08,2011,"['Dominic Cooper', 'Ludivine Sagnier', 'Raad Rawi']"
Warrior,2011-09-09,2011,"['Andrew Koji', 'Olivia Cheng', 'Jason Tobin']"
Straw Dogs,2011-09-16,2011,"['James Marsden', 'Kate Bosworth', 'Alexander Skarsgård']"
Abduction,2011-09-23,2011,"['Jake Andolina', 'Oriah Acima Andrews', 'Ken Arnold']"
Moneyball,2011-09-23,2011,"['Brad Pitt', 'Jonah Hill', 'Philip Seymour Hoffman']"
Killer Elite,2011-09-23,2011,"['Jason Statham', 'Clive Owen', 'Robert De Niro']"
Munger Road,2011-09-30,2011,"['Bruce Davison', 'Randall Batinkoff', 'Trevor Morgan']"
Dream House,2011-09-30,2011,"['Daniel Craig', 'Naomi Watts', 'Rachel Weisz']"
50/50,2011-09-30,2011,"['Joseph Gordon-Levitt', 'Seth Rogen', 'Anna Kendrick']"
Red State,2011-09-30,2011,"['Michael Angarano', 'Deborah Aquila', 'Nicholas Braun']"
Real Steel,2011-10-07,2011,"['Hugh Jackman', 'Dakota Goyo', 'Evangeline Lilly']"
Intruders,2011-10-07,2011,"['James Frain', 'Millie Bobby Brown', 'Tory Kittles']"
Another Earth,2011-10-12,2011,"['Brit Marling', 'Matthew-Lee Erlbach', 'DJ Flava']"
Footloose,2011-10-14,2011,"['Kevin Bacon', 'Lori Singer', 'John Lithgow']"
The Thing,2011-10-14,2011,"['Kurt Russell', 'Wilford Brimley', 'T.K. Carter']"
Johnny English Reborn,2011-10-21,2011,"['Roger Barclay', 'Eric Carte', 'Rowan Atkinson']"
We Need to Talk About Kevin,2011-10-21,2011,"['Tilda Swinton', 'John C. Reilly', 'Ezra Miller']"
The Three Musketeers,2011-10-21,2011,"['Matthew Macfadyen', 'Milla Jovovich', 'Helen George']"
In Time,2011-10-28,2011,"['Justin Timberlake', 'Olivia Wilde', 'Shyloh Oostwald']"
Puss in Boots,2011-10-28,2011,"['Antonio Banderas', 'Salma Hayek', 'Zach Galifianakis']"
Trespass,2011-11-02,2011,"['Nicolas Cage', 'Nicole Kidman', 'Ben Mendelsohn']"
Tower Heist,2011-11-04,2011,"['Ben Stiller', 'Eddie Murphy', 'Casey Affleck']"
There Be Dragons,2011-11-09,2011,"['Charlie Cox', 'Wes Bentley', 'Dougray Scott']"
Loosies,2011-11-09,2011,"['Peter Facinelli', 'Jaimie Alexander', 'Michael Madsen']"
A Dangerous Method,2011-11-10,2011,"['Keira Knightley', 'Viggo Mortensen', 'Michael Fassbender']"
Take Shelter,2011-11-10,2011,"['Michael Shannon', 'Jessica Chastain', 'Tova Stewart']"
Immortals,2011-11-11,2011,"['Henry Cavill', 'Mickey Rourke', 'Stephen Dorff']"
J. Edgar,2011-11-11,2011,"['Leonardo DiCaprio', 'Josh Hamilton', 'Geoff Pierson']"
The Twilight Saga: Breaking Dawn - Part 1,2011-11-18,2011,"['Taylor Lautner', 'Gil Birmingham', 'Billy Burke']"
Happy Feet Two,2011-11-18,2011,"['Carlos Alazraqui', 'Lombardo Boyar', 'Jeffrey Garcia']"
Hugo,2011-11-23,2011,"['Ben Kingsley', 'Sacha Baron Cohen', 'Asa Butterfield']"
Arthur Christmas,2011-11-23,2011,"['James McAvoy', 'Hugh Laurie', 'Bill Nighy']"
The Muppets,2011-11-23,2011,"['Jason Segel', 'Amy Adams', 'Chris Cooper']"
The Double,2011-12-08,2011,"['Richard Gere', 'Topher Grace', 'Martin Sheen']"
Alvin and the Chipmunks: Chipwrecked,2011-12-16,2011,"['Jason Lee', 'David Cross', 'Jenny Slate']"
Sherlock Holmes: A Game of Shadows,2011-12-16,2011,"['Robert Downey Jr.', 'Jude Law', 'Noomi Rapace']"
The Girl with the Dragon Tattoo,2011-12-21,2011,"['Daniel Craig', 'Rooney Mara', 'Christopher Plummer']"
Mission: Impossible - Ghost Protocol,2011-12-21,2011,"['Tom Cruise', 'Paula Patton', 'Simon Pegg']"
We Bought a Zoo,2011-12-23,2011,"['Matt Damon', 'Scarlett Johansson', 'Thomas Haden Church']"
The Darkest Hour,2011-12-25,2011,"['Emile Hirsch', 'Olivia Thirlby', 'Max Minghella']"
War Horse,2011-12-25,2011,"['Jeremy Irvine', 'Peter Mullan', 'Emily Watson']"
Tinker Tailor Soldier Spy,2012-01-06,2011,"['Mark Strong', 'John Hurt', 'Zoltán Mucsi']"
Joyful Noise,2012-01-13,2012,"['Queen Latifah', 'Dolly Parton', 'Keke Palmer']"
Contraband,2012-01-13,2012,"['Robert Wahlberg', 'Caleb Landry Jones', 'Jason Mitchell']"
