title,release,startYear,top3_actors
42,2013-04-12,2013,"['Chadwick Boseman', 'Harrison Ford', 'Nicole Beharie']"
The Brass Teapot,2013-04-15,2012,"['Juno Temple', 'Michael Angarano', 'Alexis Bledel']"
Oblivion,2013-04-19,2013,"['Tom Cruise', 'Morgan Freeman', 'Olga Kurylenko']"
The Place Beyond the Pines,2013-04-19,2012,"['Ryan Gosling', 'Craig Van Hook', 'Eva Mendes']"
Kon-Tiki,2013-04-26,2012,"['Pål Sverre Hagen', 'Anders Baasmo Christiansen', 'Tobias Santelmann']"
The Big Wedding,2013-04-26,2013,"['Robert De Niro', 'Katherine Heigl', 'Diane Keaton']"
Pain & Gain,2013-04-26,2013,"['Mark Wahlberg', 'Dwayne Johnson', 'Anthony Mackie']"
Trance,2013-05-01,2013,"['James McAvoy', 'Vincent Cassel', 'Rosario Dawson']"
Syrup,2013-05-01,2013,"['Juan Luis Acevedo', 'Kirstie Alley', 'Jolene Andersen']"
The Iceman,2013-05-02,2012,"['Michael Shannon', 'Winona Ryder', 'Chris Evans']"
Star Trek Into Darkness,2013-05-16,2013,"['Chris Pine', 'Zachary Quinto', 'Zoe Saldana']"
Only God Forgives,2013-05-22,2013,"['Ryan Gosling', 'Kristin Scott Thomas', 'Vithaya Pansringarm']"
Epic,2013-05-24,2013,"['Blake Anderson', 'Aziz Ansari', 'Allison Bills']"
After Earth,2013-05-31,2013,"['Jaden Smith', 'Will Smith', 'Sophie Okonedo']"
Now You See Me,2013-05-31,2013,"['Jesse Eisenberg', 'Mark Ruffalo', 'Woody Harrelson']"
Violet & Daisy,2013-06-06,2011,"['Saoirse Ronan', 'Alexis Bledel', 'James Gandolfini']"
The Purge,2013-06-07,2013,"['Ethan Hawke', 'Lena Headey', 'Max Burkholder']"
Wish You Were Here,2013-06-07,2012,"['Felicity Price', 'Joel Edgerton', 'Teresa Palmer']"
Man of Steel,2013-06-14,2013,"['Henry Cavill', 'Amy Adams', 'Michael Shannon']"
Monsters University,2013-06-21,2013,"['Billy Crystal', 'John Goodman', 'Steve Buscemi']"
The Bling Ring,2013-06-21,2013,"['Katie Chang', 'Israel Broussard', 'Emma Watson']"
World War Z,2013-06-21,2013,"['Brad Pitt', 'Mireille Enos', 'Daniella Kertesz']"
White House Down,2013-06-28,2013,"['Channing Tatum', 'Jamie Foxx', 'Maggie Gyllenhaal']"
The East,2013-06-28,2013,"['Brit Marling', 'Alexander Skarsgård', 'Elliot Page']"
The Heat,2013-06-28,2013,"['Sandra Bullock', 'Melissa McCarthy', 'Demián Bichir']"
The Lone Ranger,2013-07-03,2013,"['Johnny Depp', 'Armie Hammer', 'William Fichtner']"
Despicable Me 2,2013-07-03,2013,"['Steve Carell', 'Kristen Wiig', 'Benjamin Bratt']"
Aftershock,2013-07-10,2012,"['Eli Roth', 'Andrea Osvárt', 'Ariel Levy']"
Pacific Rim,2013-07-12,2013,"['Charlie Hunnam', 'Diego Klattenhoff', 'Idris Elba']"
Turbo,2013-07-17,2013,"['Ryan Reynolds', 'Paul Giamatti', 'Michael Peña']"
The Conjuring,2013-07-19,2013,"['Vera Farmiga', 'Patrick Wilson', 'Lili Taylor']"
R.I.P.D.,2013-07-19,2013,"['Jeff Bridges', 'Ryan Reynolds', 'Kevin Bacon']"
Fruitvale Station,2013-07-26,2013,"['Michael B. Jordan', 'Melonie Diaz', 'Octavia Spencer']"
The Smurfs 2,2013-07-31,2013,"['Hank Azaria', 'Neil Patrick Harris', 'Brendan Gleeson']"
2 Guns,2013-08-02,2013,"['Denzel Washington', 'Mark Wahlberg', 'Paula Patton']"
Percy Jackson: Sea of Monsters,2013-08-07,2013,"['Logan Lerman', 'Alexandra Daddario', 'Douglas Smith']"
Planes,2013-08-09,2013,"['Dane Cook', 'Stacy Keach', 'Brad Garrett']"
Elysium,2013-08-09,2013,"['Matt Damon', 'Jodie Foster', 'Sharlto Copley']"
Kick-Ass 2,2013-08-16,2013,"['Aaron Taylor-Johnson', 'Chloë Grace Moretz', 'Morris Chestnut']"
The Mortal Instruments: City of Bones,2013-08-21,2013,"['Lily Collins', 'Jamie Campbell Bower', 'Kevin Zegers']"
Closed Circuit,2013-08-28,2013,"['Kate Lock', 'Katherine Press', 'Patrick Warner']"
Passion,2013-08-30,2012,"['Jim Caviezel', 'Maia Morgenstern', 'Christo Jivkov']"
Approaching Midnight,2013-08-30,2013,"['Jana Kramer', 'Sam Logan Khaleghi', 'Brandon T. Jackson']"
Riddick,2013-09-06,2013,"['Vin Diesel', 'Jordi Mollà', 'Matt Nable']"
Populaire,2013-09-06,2012,"['Romain Duris', 'Déborah François', 'Bérénice Bejo']"
The Investigator,2013-09-13,2013,"['Mark Williams-Thomas', 'Rick Warden', 'Tanya Winsor']"
Insidious: Chapter 2,2013-09-13,2013,"['Patrick Wilson', 'Rose Byrne', 'Ty Simpkins']"
The Family,2013-09-13,2013,"['Robert De Niro', 'Michelle Pfeiffer', 'Dianna Agron']"
The Spectacular Now,2013-09-13,2013,"['Miles Teller', 'Shailene Woodley', 'Brie Larson']"
The Last Days on Mars,2013-09-19,2013,"['Liev Schreiber', 'Elias Koteas', 'Romola Garai']"
Prisoners,2013-09-20,2013,"['Hugh Jackman', 'Jake Gyllenhaal', 'Viola Davis']"
Diana,2013-09-20,2013,"['Naomi Watts', 'Cas Anvar', 'Charles Edwards']"
Don Jon,2013-09-27,2013,"['Joseph Gordon-Levitt', 'Scarlett Johansson', 'Julianne Moore']"
Cloudy with a Chance of Meatballs 2,2013-09-27,2013,"['Bill Hader', 'Anna Faris', 'James Caan']"
Alone Yet Not Alone,2013-09-27,2013,"['Kelly Greyson', 'Natalie Racoosin', 'Clay Walker']"
Rush,2013-09-27,2013,"['Chris Hemsworth', 'Daniel Brühl', 'Olivia Wilde']"
Gravity,2013-10-04,2013,"['Sandra Bullock', 'George Clooney', 'Ed Harris']"
How I Live Now,2013-10-04,2013,"['Saoirse Ronan', 'Tom Holland', 'George MacKay']"
Stalingrad,2013-10-10,2013,"['Jude Law', 'Ed Harris', 'Rachel Weisz']"
Machete Kills,2013-10-11,2013,"['Danny Trejo', 'Mel Gibson', 'Demián Bichir']"
CBGB,2013-10-11,2013,"['Alan Rickman', 'Malin Akerman', 'Justin Bartha']"
Captain Phillips,2013-10-11,2013,"['Tom Hanks', 'Catherine Keener', 'Barkhad Abdi']"
Enough Said,2013-10-11,2013,"['Julia Louis-Dreyfus', 'Lennie Loftin', 'Jessica St. Clair']"
Gabrielle,2013-10-16,2013,"['Gabrielle Marion-Rivard', 'Alexandre Landry', 'Mélissa Désormeaux-Poulin']"
The Fifth Estate,2013-10-18,2013,"['Peter Capaldi', 'David Thewlis', 'Anatole Taubman']"
The Counselor,2013-10-25,2013,"['Michael Fassbender', 'Penélope Cruz', 'Cameron Diaz']"
The Face of Love,2013-10-25,2013,"['Annette Bening', 'Ed Harris', 'Robin Williams']"
Blood Ties,2013-10-30,2013,"['Clive Owen', 'Billy Crudup', 'Marion Cotillard']"
Free Birds,2013-11-01,2013,"['Owen Wilson', 'Woody Harrelson', 'Amy Poehler']"
Ender's Game,2013-11-01,2013,"['Asa Butterfield', 'Harrison Ford', 'Hailee Steinfeld']"
12 Years a Slave,2013-11-08,2013,"['Chiwetel Ejiofor', 'Dwight Henry', 'Dickie Gravois']"
About Time,2013-11-08,2013,"['Domhnall Gleeson', 'Rachel McAdams', 'Bill Nighy']"
Thor: The Dark World,2013-11-08,2013,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston']"
The Hunger Games: Catching Fire,2013-11-22,2013,"['Jennifer Lawrence', 'Liam Hemsworth', 'Jack Quaid']"
Black Nativity,2013-11-27,2013,"['Forest Whitaker', 'Angela Bassett', 'Jennifer Hudson']"
Byzantium,2013-11-27,2012,"['Saoirse Ronan', 'Barry Cassin', 'Gemma Arterton']"
Frozen,2013-11-27,2013,"['Kristen Bell', 'Idina Menzel', 'Jonathan Groff']"
Homefront,2013-11-27,2013,"['Jason Statham', 'James Franco', 'Izabela Vidovic']"
Oldboy,2013-11-27,2013,"['Choi Min-sik', 'Yoo Ji-Tae', 'Kang Hye-jeong']"
Philomena,2013-11-27,2013,"['Judi Dench', 'Steve Coogan', 'Sophie Kennedy Clark']"
The Adventurer: The Curse of the Midas Box,2013-12-05,2013,"['Aneurin Barnard', 'Michael Sheen', 'Lena Headey']"
I'm in Love with a Church Girl,2013-12-06,2013,"['Martin Kove', 'Michael Madsen', 'Zahn McClarnon']"
Out of the Furnace,2013-12-06,2013,"['Woody Harrelson', 'Dendrie Taylor', 'Carl Ciarfalio']"
A Madea Christmas,2013-12-13,2013,"['Tyler Perry', 'Anna Maria Horsford', 'Tika Sumpter']"
Parkland,2013-12-18,2013,"['Marcia Gay Harden', 'Matt Barr', 'Zac Efron']"
Saving Mr. Banks,2013-12-20,2013,"['Emma Thompson', 'Tom Hanks', 'Annie Rose Buckley']"
Walking with Dinosaurs 3D,2013-12-20,2013,"['Charlie Rowe', 'Karl Urban', 'Angourie Rice']"
The Secret Life of Walter Mitty,2013-12-25,2013,"['Ben Stiller', 'Kristen Wiig', 'Jon Daly']"
The Wolf of Wall Street,2013-12-25,2013,"['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie']"
Grudge Match,2013-12-25,2013,"['Jim Lampley', 'Sylvester Stallone', 'Robert De Niro']"
Only Lovers Left Alive,2013-12-25,2013,"['Tilda Swinton', 'Tom Hiddleston', 'Anton Yelchin']"
Mandela: Long Walk to Freedom,2013-12-25,2013,"['Idris Elba', 'Naomie Harris', 'Tony Kgoroge']"
47 Ronin,2013-12-25,2013,"['Keanu Reeves', 'Hiroyuki Sanada', 'Ko Shibasaki']"
Inside Llewyn Davis,2014-01-10,2013,"['Oscar Isaac', 'Carey Mulligan', 'Justin Timberlake']"
Her,2014-01-10,2013,"['Joaquin Phoenix', 'Lynn Adrianna Freedman', 'Lisa Renee Pitts']"
Lone Survivor,2014-01-10,2013,"['Mark Wahlberg', 'Taylor Kitsch', 'Emile Hirsch']"
Jack Ryan: Shadow Recruit,2014-01-17,2014,"['Chris Pine', 'Keira Knightley', 'Kevin Costner']"
Ride Along,2014-01-17,2014,"['Ice Cube', 'Kevin Hart', 'John Leguizamo']"
The Nut Job,2014-01-17,2014,"['Will Arnett', 'Brendan Fraser', 'Liam Neeson']"
Pawn Shop Chronicles,2014-01-18,2013,"['Paul Walker', 'Matt Dillon', 'Brendan Fraser']"
Nebraska,2014-01-24,2013,"['Bruce Dern', 'Will Forte', 'June Squibb']"
Anna,2014-01-24,2013,"['Sasha Luss', 'Helen Mirren', 'Luke Evans']"
"I, Frankenstein",2014-01-24,2014,"['Aaron Eckhart', 'Yvonne Strahovski', 'Miranda Otto']"
Labor Day,2014-01-31,2013,"['Kate Winslet', 'Josh Brolin', 'Gattlin Griffith']"
All Is Lost,2014-02-05,2013,['Robert Redford']
The Monuments Men,2014-02-07,2014,"['George Clooney', 'Matt Damon', 'Bill Murray']"
Vampire Academy,2014-02-07,2014,"['Zoey Deutch', 'Lucy Fry', 'Danila Kozlovskiy']"
The Lego Movie,2014-02-07,2014,"['Will Arnett', 'Elizabeth Banks', 'Craig Berry']"
RoboCop,2014-02-12,2014,"['Peter Weller', 'Nancy Allen', ""Dan O'Herlihy""]"
Winter's Tale,2014-02-14,2014,"['Colin Farrell', 'Matt Bomer', 'Lucy Griffiths']"
3 Days to Kill,2014-02-21,2014,"['Kevin Costner', 'Amber Heard', 'Hailee Steinfeld']"
Pompeii,2014-02-21,2014,"['Dylan Schombing', 'Jean-Francois Lachapelle', 'Rebecca Roberts']"
Son of God,2014-02-28,2014,"['Diogo Morgado', 'Greg Hicks', 'Adrian Schiller']"
Non-Stop,2014-02-28,2014,"['Liam Neeson', 'Julianne Moore', 'Scoot McNairy']"
Mr. Peabody & Sherman,2014-03-07,2014,"['Ty Burrell', 'Max Charles', 'Lauri Fraser']"
Make Your Move,2014-03-12,2013,"['Derek Hough', 'BoA', 'Will Yun Lee']"
Veronica Mars,2014-03-13,2014,"['Kristen Bell', 'Jason Dohring', 'Enrico Colantoni']"
Muppets Most Wanted,2014-03-21,2014,"['Ricky Gervais', 'Ty Burrell', 'Tina Fey']"
Divergent,2014-03-21,2014,"['Shailene Woodley', 'Theo James', 'Ashley Judd']"
Sabotage,2014-03-28,2014,"['Arnold Schwarzenegger', 'Sam Worthington', 'Joe Manganiello']"
Noah,2014-03-28,2014,"['Russell Crowe', 'Jennifer Connelly', 'Ray Winstone']"
The Grand Budapest Hotel,2014-03-28,2014,"['Ralph Fiennes', 'F. Murray Abraham', 'Mathieu Amalric']"
Captain America: The Winter Soldier,2014-04-04,2014,"['Chris Evans', 'Samuel L. Jackson', 'Scarlett Johansson']"
Rio 2,2014-04-11,2014,"['Jake T. Austin', 'Carlinhos Brown', 'Kristin Chenoweth']"
Heaven Is for Real,2014-04-16,2014,"['Greg Kinnear', 'Kelly Reilly', 'Thomas Haden Church']"
Transcendence,2014-04-18,2014,"['Johnny Depp', 'Rebecca Hall', 'Paul Bettany']"
Canopy,2014-04-24,2013,"['Khan Chittenden', 'Morning Tzu-Yi Mo', 'Robert Menzies']"
Filth,2014-04-24,2013,"['James McAvoy', 'Jamie Bell', 'Eddie Marsan']"
The Quiet Ones,2014-04-25,2014,"['Jared Harris', 'Sam Claflin', 'Erin Richards']"
Savannah,2014-04-25,2013,"['Nick Nolte', 'Barbra Streisand', 'Blythe Danner']"
Last Passenger,2014-04-25,2013,"['Dougray Scott', 'Kara Tointon', 'Iddo Goldberg']"
Brick Mansions,2014-04-25,2014,"['Paul Walker', 'David Belle', 'RZA']"
The Amazing Spider-Man 2,2014-05-02,2014,"['Andrew Garfield', 'Emma Stone', 'Jamie Foxx']"
Legends of Oz: Dorothy's Return,2014-05-09,2013,"['Dan Aykroyd', 'Jim Belushi', 'Kelsey Grammer']"
Godzilla,2014-05-16,2014,"['Aaron Taylor-Johnson', 'CJ Adams', 'Ken Watanabe']"
Million Dollar Arm,2014-05-16,2014,"['Jon Hamm', 'Pitobash', 'Suraj Sharma']"
X-Men: Days of Future Past,2014-05-23,2014,"['Hugh Jackman', 'James McAvoy', 'Michael Fassbender']"
The Railway Man,2014-05-23,2013,"['Jeremy Irvine', 'Colin Firth', 'Stellan Skarsgård']"
Maleficent,2014-05-30,2014,"['Angelina Jolie', 'Elle Fanning', 'Sharlto Copley']"
Chef,2014-05-30,2014,"['Jon Favreau', 'John Leguizamo', 'Bobby Cannavale']"
A Long Way Off,2014-06-06,2014,"['Robert Davi', 'Edie McClurg', 'John Diehl']"
Edge of Tomorrow,2014-06-06,2014,"['Tom Cruise', 'Emily Blunt', 'Brendan Gleeson']"
How to Train Your Dragon 2,2014-06-13,2014,"['Jay Baruchel', 'Cate Blanchett', 'Gerard Butler']"
22 Jump Street,2014-06-13,2014,"['Jonah Hill', 'Channing Tatum', 'Peter Stormare']"
Belle,2014-06-13,2013,"['Matthew Goode', 'Lauren Julien-Box', 'Natasha Williams']"
The Rover,2014-06-20,2014,"['Guy Pearce', 'Chan Kien', 'Tek Kong Lim']"
Jersey Boys,2014-06-20,2014,"['Vincent Piazza', 'John Lloyd Young', 'Steve Schirripa']"
Happy Christmas,2014-06-26,2014,"['Diane Kruger', 'Natalie Dessay', 'Benno Fürmann']"
The Living,2014-06-26,2014,"['Fran Kranz', 'Jocelin Donahue', 'Kenny Wormald']"
Transformers: Age of Extinction,2014-06-27,2014,"['Mark Wahlberg', 'Stanley Tucci', 'Kelsey Grammer']"
Deliver Us from Evil,2014-07-02,2014,"['Eric Bana', 'Edgar Ramírez', 'Olivia Munn']"
Earth to Echo,2014-07-02,2014,"['Teo Halm', 'Astro', 'Reese Hartwig']"
Blue Ruin,2014-07-09,2013,"['Macon Blair', 'Ydaiber Orozco', 'Ronald Sarcos']"
Snowpiercer,2014-07-11,2013,"['Daveed Diggs', 'Iddo Goldberg', 'Mickey Sumner']"
Begin Again,2014-07-11,2013,"['James Corden', 'Keira Knightley', 'Mark Ruffalo']"
Dawn of the Planet of the Apes,2014-07-11,2014,"['Andy Serkis', 'Jason Clarke', 'Gary Oldman']"
Life After Beth,2014-07-15,2014,"['Aubrey Plaza', 'Dane DeHaan', 'John C. Reilly']"
The Purge: Anarchy,2014-07-18,2014,"['Frank Grillo', 'Carmen Ejogo', 'Zach Gilford']"
Planes: Fire & Rescue,2014-07-18,2014,"['Dane Cook', 'Ed Harris', 'Julie Bowen']"
Persecuted,2014-07-18,2014,"['Dean Stockwell', 'James Remar', 'Bruce Davison']"
The Signal,2014-07-23,2014,"['Patrick Davidson', 'Brenton Thwaites', 'Olivia Cooke']"
Under the Skin,2014-07-23,2013,"['Scarlett Johansson', 'Jeremy McWilliams', 'Lynsey Taylor Mackay']"
Lucy,2014-07-25,2014,"['Scarlett Johansson', 'Morgan Freeman', 'Choi Min-sik']"
Hercules,2014-07-25,2014,[]
And So It Goes,2014-07-25,2014,['']
A Most Wanted Man,2014-08-01,2014,['']
Guardians of the Galaxy,2014-08-01,2014,['']
Get on Up,2014-08-01,2014,['']
Step Up All In,2014-08-08,2014,['']
Into the Storm,2014-08-08,2014,"['Richard Armitage', 'Sarah Wayne Callies', 'Matt Walsh']"
The One I Love,2014-08-08,2014,"['Mark Duplass', 'Elisabeth Moss', 'Ted Danson']"
Teenage Mutant Ninja Turtles,2014-08-08,2014,"['Judith Hoag', 'Elias Koteas', 'Josh Pais']"
Let's Be Cops,2014-08-13,2014,"['Jake Johnson', 'Damon Wayans Jr.', 'Rob Riggle']"
Inescapable,2014-08-14,2012,"['Alexander Siddig', 'Marisa Tomei', 'Joshua Jackson']"
Magic in the Moonlight,2014-08-15,2014,"['Colin Firth', 'Antonia Clarke', 'Natasha Andrews']"
The Expendables 3,2014-08-15,2014,"['Sylvester Stallone', 'Jason Statham', 'Harrison Ford']"
The Giver,2014-08-15,2014,"['Jeff Bridges', 'Meryl Streep', 'Brenton Thwaites']"
Fort McCoy,2014-08-15,2011,"['Eric Stoltz', 'Kate Connor', 'Lyndsy Fonseca']"
The Zero Theorem,2014-08-19,2013,"['Christoph Waltz', 'Gwendoline Christie', 'Rupert Friend']"
When the Game Stands Tall,2014-08-22,2014,"['Jim Caviezel', 'Michael Chiklis', 'Alexander Ludwig']"
If I Stay,2014-08-22,2014,"['Chloë Grace Moretz', 'Mireille Enos', 'Jamie Blackley']"
"As Above, So Below",2014-08-29,2014,"['Perdita Weeks', 'Ben Feldman', 'Edwin Hodge']"
The Guest,2014-09-05,2014,"['Dan Stevens', 'Maika Monroe', 'Brendan Meyer']"
Gemma Bovery,2014-09-10,2014,"['Fabrice Luchini', 'Gemma Arterton', 'Jason Flemyng']"
Honeymoon,2014-09-12,2014,"['Rose Leslie', 'Harry Treadaway', 'Ben Huber']"
The Drop,2014-09-12,2014,"['Tom Hardy', 'Noomi Rapace', 'James Gandolfini']"
Cantinflas,2014-09-18,2014,"['Óscar Jaenada', 'Adrian Herrera', 'Michael Imperioli']"
Tusk,2014-09-19,2014,"['Michael Parks', 'Justin Long', 'Genesis Rodriguez']"
A Walk Among the Tombstones,2014-09-19,2014,"['Liam Neeson', 'Maurice Compte', 'Patrick McDade']"
The Maze Runner,2014-09-19,2014,"[""Dylan O'Brien"", 'Aml Ameen', 'Ki Hong Lee']"
I Origins,2014-09-19,2014,"['Michael Pitt', 'Steven Yeun', 'Astrid Bergès-Frisbey']"
Repentance,2014-09-25,2013,"['Forest Whitaker', 'Anthony Mackie', 'Mike Epps']"
The Equalizer,2014-09-26,2014,"['Queen Latifah', 'Tory Kittles', 'Adam Goldberg']"
The Boxtrolls,2014-09-26,2014,"['Steve Blum', 'Dee Bradley Baker', 'Max Mitchell']"
Left Behind,2014-10-03,2014,"['Nicolas Cage', 'Chad Michael Murray', 'Cassi Thomson']"
Gone Girl,2014-10-03,2014,"['Ben Affleck', 'Rosamund Pike', 'Neil Patrick Harris']"
Annabelle,2014-10-03,2014,"['Annabelle Wallis', 'Ward Horton', 'Tony Amendola']"
Barefoot,2014-10-08,2014,"['Evan Rachel Wood', 'Scott Speedman', 'Treat Williams']"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014-10-10,2014,"['Steve Carell', 'Jennifer Garner', 'Ed Oxenbould']"
Dracula Untold,2014-10-10,2014,"['Luke Evans', 'Sarah Gadon', 'Dominic Cooper']"
Samba,2014-10-15,2014,"['Omar Sy', 'Charlotte Gainsbourg', 'Tahar Rahim']"
Fury,2014-10-17,2014,"['Brad Pitt', 'Shia LaBeouf', 'Logan Lerman']"
The Book of Life,2014-10-17,2014,"['Diego Luna', 'Zoe Saldana', 'Channing Tatum']"
The Sisterhood of Night,2014-10-18,2014,"['Georgie Henley', 'Kara Hayward', 'Willa Cuthrell']"
Laggies,2014-10-24,2014,"['Rocki DuCharme', 'Sara Lynne Wright', 'Larissa Schmitz']"
Ouija,2014-10-24,2014,"['Olivia Cooke', 'Ana Coto', 'Daren Kagasoff']"
John Wick,2014-10-24,2014,"['Keanu Reeves', 'Michael Nyqvist', 'Alfie Allen']"
23 Blast,2014-10-24,2014,"['Stephen Lang', 'Alexa PenaVega', 'Mark Hapka']"
Mr. Turner,2014-10-31,2014,"['Timothy Spall', 'Paul Jesson', 'Dorothy Atkinson']"
Before I Go to Sleep,2014-10-31,2014,"['Nicole Kidman', 'Colin Firth', 'Mark Strong']"
Nightcrawler,2014-10-31,2014,"['Jake Gyllenhaal', 'Michael Papajohn', 'Marco Rodríguez']"
Big Hero 6,2014-11-07,2014,"['Scott Adsit', 'Ryan Potter', 'Daniel Henney']"
Interstellar,2014-11-07,2014,"['Ellen Burstyn', 'Matthew McConaughey', 'Mackenzie Foy']"
Beyond the Lights,2014-11-14,2014,"['Gugu Mbatha-Raw', 'Nate Parker', 'Minnie Driver']"
My Old Lady,2014-11-21,2014,"['Kevin Kline', 'Michel Burstin', 'Elie Wajeman']"
The Hunger Games: Mockingjay - Part 1,2014-11-21,2014,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']"
Penguins of Madagascar,2014-11-26,2014,"['Tom McGrath', 'Chris Miller', 'Christopher Knights']"
The Theory of Everything,2014-11-26,2014,"['Eddie Redmayne', 'Felicity Jones', 'Tom Prior']"
Falcon Rising,2014-11-27,2014,"['Michael Jai White', 'Neal McDonough', 'Jimmy Navarro']"
Antarctica: A Year on Ice,2014-11-28,2013,"['Genevieve Bachman', 'William Brotman', 'Michael Christiansen']"
The Pyramid,2014-12-05,2014,"['Ashley Hinshaw', ""Denis O'Hare"", 'James Buckley']"
Exodus: Gods and Kings,2014-12-12,2014,"['Christian Bale', 'Joel Edgerton', 'John Turturro']"
Night at the Museum: Secret of the Tomb,2014-12-19,2014,"['Ben Stiller', 'Robin Williams', 'Owen Wilson']"
Wild,2014-12-19,2014,"['Reese Witherspoon', 'Laura Dern', 'Thomas Sadoski']"
Annie,2014-12-19,2014,"['Albert Finney', 'Carol Burnett', 'Ann Reinking']"
The Interview,2014-12-24,2014,"['James Franco', 'Seth Rogen', 'Lizzy Caplan']"
The Imitation Game,2014-12-25,2014,"['Benedict Cumberbatch', 'Keira Knightley', 'Matthew Goode']"
Into the Woods,2014-12-25,2014,"['Bruce Campbell', 'Ellen Sandweiss', 'Richard DeManincor']"
The Gambler,2014-12-25,2014,"['Mark Wahlberg', 'George Kennedy', 'Griffin Cleveland']"
Unbroken,2014-12-25,2014,"[""Jack O'Connell"", 'Domhnall Gleeson', 'Garrett Hedlund']"
Big Eyes,2014-12-25,2014,"['Amy Adams', 'Christoph Waltz', 'Danny Huston']"
The Water Diviner,2014-12-26,2014,"['Russell Crowe', 'Olga Kurylenko', 'Yilmaz Erdogan']"
The Woman in Black 2: Angel of Death,2015-01-02,2014,"['Phoebe Fox', 'Merryn Pearse', 'Mary Roscoe']"
Selma,2015-01-09,2014,"['David Oyelowo', 'Carmen Ejogo', 'Jim France']"
Predestination,2015-01-09,2014,"['Ethan Hawke', 'Sarah Snook', 'Christopher Kirby']"
Inherent Vice,2015-01-09,2014,"['Joanna Newsom', 'Katherine Waterston', 'Joaquin Phoenix']"
Blackhat,2015-01-16,2015,"['Chris Hemsworth', 'Leehom Wang', 'Tang Wei']"
American Sniper,2015-01-16,2014,"['Bradley Cooper', 'Kyle Gallner', 'Cole Konis']"
Paddington,2015-01-16,2014,"['Tim Downie', 'Madeleine Worrall', 'Lottie Steer']"
Foxcatcher,2015-01-16,2014,"['Steve Carell', 'Channing Tatum', 'Mark Ruffalo']"
Americons,2015-01-22,2015,"['Beau Martin Williams', 'Matt Funke', 'Trai Byers']"
Mortdecai,2015-01-23,2015,"['Johnny Depp', 'Gwyneth Paltrow', 'Paul Bettany']"
Black Sea,2015-01-23,2014,"['Jude Law', 'Karl Davies', 'Llewella Gideon']"
Project Almanac,2015-01-30,2015,"['Jonny Weston', ""Sofia Black-D'Elia"", 'Sam Lerner']"
The Loft,2015-01-30,2014,"['Karl Urban', 'James Marsden', 'Wentworth Miller']"
A Most Violent Year,2015-01-30,2014,"['Oscar Isaac', 'Elyes Gabel', 'Jessica Chastain']"
Seventh Son,2015-02-06,2014,"['Jeff Bridges', 'Ben Barnes', 'Julianne Moore']"
The SpongeBob Movie: Sponge Out of Water,2015-02-06,2015,"['Antonio Banderas', 'Eric Bauza', 'Tim Conway']"
Jupiter Ascending,2015-02-06,2015,"['Mila Kunis', 'Channing Tatum', 'Sean Bean']"
Fifty Shades of Grey,2015-02-13,2015,"['Dakota Johnson', 'Jamie Dornan', 'Jennifer Ehle']"
Kingsman: The Secret Service,2015-02-13,2014,"['Adrian Quinton', 'Colin Firth', 'Mark Strong']"
The Last Five Years,2015-02-18,2014,"['Anna Kendrick', 'Jeremy Jordan', 'Tamara Mintz']"
Hot Tub Time Machine 2,2015-02-20,2015,"['Rob Corddry', 'Craig Robinson', 'Clark Duke']"
"McFarland, USA",2015-02-20,2015,"['Kevin Costner', 'Ramiro Rodriguez', 'Carlos Pratts']"
Rudderless,2015-02-21,2014,"['Miles Heizer', 'Aly Lovelace', 'Billy Crudup']"
Serena,2015-02-26,2014,"['Jennifer Lopez', 'Jackie Guerra', 'Constance Marie']"
The Salvation,2015-02-27,2014,"['Mads Mikkelsen', 'Eva Green', 'Jeffrey Dean Morgan']"
Focus,2015-02-27,2015,"['Will Smith', 'Margot Robbie', 'Adrian Martinez']"
The Lazarus Effect,2015-02-27,2015,"['Mark Duplass', 'Olivia Wilde', 'Sarah Bolger']"
The Second Best Exotic Marigold Hotel,2015-03-06,2015,"['Dev Patel', 'Maggie Smith', 'Danny Mahoney']"
Chappie,2015-03-06,2015,"['Sharlto Copley', 'Dev Patel', 'Ninja']"
Run All Night,2015-03-13,2015,"['Liam Neeson', 'Ed Harris', 'Joel Kinnaman']"
Cinderella,2015-03-13,2015,"['Camila Cabello', 'Billy Porter', 'Idina Menzel']"
Eva,2015-03-13,2011,"['Bette Davis', 'Anne Baxter', 'George Sanders']"
It Follows,2015-03-13,2014,"['Bailey Spry', 'Carollette Phillips', 'Loren Bass']"
The Gunman,2015-03-20,2015,"['Sean Penn', 'Jasmine Trinca', 'Javier Bardem']"
Home,2015-03-27,2015,"['Jim Parsons', 'Rihanna', 'Steve Martin']"
Danny Collins,2015-04-10,2015,"['Al Pacino', 'Annette Bening', 'Jennifer Garner']"
Woman in Gold,2015-04-10,2015,"['Helen Mirren', 'Ryan Reynolds', 'Daniel Brühl']"
Lost River,2015-04-10,2014,"['Christina Hendricks', 'Iain De Caestecker', 'Saoirse Ronan']"
Slow West,2015-04-16,2015,"['Kodi Smit-McPhee', 'Caren Pistorius', 'Aorere Paki']"
Paul Blart: Mall Cop 2,2015-04-17,2015,"['Kevin James', 'Raini Rodriguez', 'Neal McDonough']"
